work,workLabel,authorLabel,genreLabel,countryLabel,durationLabel
http://www.wikidata.org/entity/Q19217297,"Lebwohl, du Strom",Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q20434353,Still (I love you still),Вилли Девиль,Palingsound,США,
http://www.wikidata.org/entity/Q20741037,Doin' La Bamba,Werner Theunissen,латиноамериканская поп-музыка,Королевство Нидерландов,
http://www.wikidata.org/entity/Q20196095,Follow Me,Герберт Крецмер,Palingsound,ЮАР,
http://www.wikidata.org/entity/Q20667978,Soledad,Emilio José,латиноамериканская поп-музыка,Испания,
http://www.wikidata.org/entity/Q19219378,Mein Schweinchen,Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q19219499,Meine Nannie ist fort,Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q19132236,"Auf der See, so weit, so weit",Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q20423680,Angel eyes,Вилли Девиль,блюз-рок,США,
http://www.wikidata.org/entity/Q19222430,"O, Willie braut’ ’nen Eimer Bier",Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q19222436,"O, froh war ich immer",Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q19222451,"O, wär’ mein Lieb die Fliederblüth’",Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q19222484,"O Philly, Segen sei dem Tag",Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q19223701,"Phillis, mein Kind",Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q19226673,"Saht Ihr mein Liebchen, die Philly?",Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q19228237,"Sie sagt, sie liebt am meisten mich",Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q20196095,Follow Me,Герберт Крецмер,поп-музыка,ЮАР,
http://www.wikidata.org/entity/Q20196095,Follow Me,Hal Shaper,Palingsound,ЮАР,
http://www.wikidata.org/entity/Q20741037,Doin' La Bamba,Werner Theunissen,рок-н-ролл,Королевство Нидерландов,
http://www.wikidata.org/entity/Q19535538,Q19535538,Václav Karel Holan Rovenský,,,
http://www.wikidata.org/entity/Q20196706,(La comparsita) La paloma,Херардо Родригес,Palingsound,Уругвай,
http://www.wikidata.org/entity/Q20741058,Une Chambre Pour La Nuit,Werner Theunissen,рок-н-ролл,Королевство Нидерландов,
http://www.wikidata.org/entity/Q19142802,Bleib’ mein Trauter!,Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q18692874,California Blue,Джефф Линн,шлягер,Великобритания,
http://www.wikidata.org/entity/Q20196095,Follow Me,Hal Shaper,поп-музыка,ЮАР,
http://www.wikidata.org/entity/Q19146319,Damon und Sylvia,Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q19214504,Jubelfestlied der Burschenschaft,Фридрих Гофман,,Саксен-Кобург-Гота,
http://www.wikidata.org/entity/Q19237679,Weit über den Forth,Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q19237901,Wenn ros’ger Mai mit Blumen naht,Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q19239703,Zorn’ges Schicksal,Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q20423680,Angel eyes,Вилли Девиль,Palingsound,США,
http://www.wikidata.org/entity/Q20740943,Daddy,Werner Theunissen,поп-музыка,Королевство Нидерландов,
http://www.wikidata.org/entity/Q18692874,California Blue,Рой Орбисон,шлягер,США,
http://www.wikidata.org/entity/Q20082567,Поручик Голицын,"Гончаренко, Георгий Иванович",городской романс,,
http://www.wikidata.org/entity/Q19101606,The Valiant Soldiers,Соджорнер Трут,,США,
http://www.wikidata.org/entity/Q18692874,California Blue,Том Петти,шлягер,США,
http://www.wikidata.org/entity/Q20483893,I Call Your Name,Вилли Девиль,Palingsound,США,
http://www.wikidata.org/entity/Q20655755,Free,Ellert Driessen,Palingsound,Королевство Нидерландов,
http://www.wikidata.org/entity/Q19145607,Chloris,Роберт Бёрнс,,Королевство Великобритания,
http://www.wikidata.org/entity/Q99964963,Q99964963,Вацлав Ганка,,Австрийская империя,
http://www.wikidata.org/entity/Q97258646,Q97258646,Nico Outhuijse,Frisian pop,Королевство Нидерландов,323
http://www.wikidata.org/entity/Q99972798,Q99972798,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972799,Q99972799,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972796,Q99972796,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972802,Q99972802,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972803,Q99972803,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972800,Q99972800,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972801,Q99972801,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972806,Q99972806,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972807,Q99972807,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972804,Q99972804,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972810,Q99972810,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972811,Q99972811,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972808,Q99972808,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972809,Q99972809,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972814,Q99972814,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972815,Q99972815,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972812,Q99972812,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972818,Q99972818,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972819,Q99972819,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972816,Q99972816,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q99972817,Q99972817,Леош Яначек,,Чехословакия,
http://www.wikidata.org/entity/Q97258646,Q97258646,Syb van der Ploeg,Frisian pop,Королевство Нидерландов,323
http://www.wikidata.org/entity/Q97258646,Q97258646,Nico Outhuijse,рок-музыка,Королевство Нидерландов,323
http://www.wikidata.org/entity/Q97258646,Q97258646,Syb van der Ploeg,рок-музыка,Королевство Нидерландов,323
http://www.wikidata.org/entity/Q99972798,Q99972798,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972799,Q99972799,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972796,Q99972796,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972802,Q99972802,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972803,Q99972803,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972800,Q99972800,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972801,Q99972801,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972806,Q99972806,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972807,Q99972807,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972804,Q99972804,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972810,Q99972810,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972811,Q99972811,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972808,Q99972808,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972809,Q99972809,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972814,Q99972814,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972815,Q99972815,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972812,Q99972812,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972818,Q99972818,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972819,Q99972819,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972816,Q99972816,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99972817,Q99972817,Леош Яначек,,Австрийская империя,
http://www.wikidata.org/entity/Q99964967,Q99964967,Josef Režný,,Чехия,
http://www.wikidata.org/entity/Q99964970,Q99964970,Josef Režný,,Чехия,
http://www.wikidata.org/entity/Q99964971,Q99964971,Josef Režný,,Чехия,
http://www.wikidata.org/entity/Q99964968,Q99964968,Josef Režný,,Чехия,
http://www.wikidata.org/entity/Q99964969,Q99964969,Josef Režný,,Чехия,
http://www.wikidata.org/entity/Q99964972,Q99964972,Josef Režný,,Чехия,
http://www.wikidata.org/entity/Q99964973,Q99964973,Josef Režný,,Чехия,
http://www.wikidata.org/entity/Q99972798,Q99972798,Франтишек Бартош,,Цислейтания,
http://www.wikidata.org/entity/Q99972799,Q99972799,Франтишек Бартош,,Цислейтания,
http://www.wikidata.org/entity/Q99972796,Q99972796,Франтишек Бартош,,Цислейтания,
http://www.wikidata.org/entity/Q99972802,Q99972802,Франтишек Бартош,,Цислейтания,
http://www.wikidata.org/entity/Q99972803,Q99972803,Франтишек Бартош,,Цислейтания,
http://www.wikidata.org/entity/Q99972800,Q99972800,Франтишек Бартош,,Цислейтания,
http://www.wikidata.org/entity/Q99972801,Q99972801,Франтишек Бартош,,Цислейтания,
http://www.wikidata.org/entity/Q99972806,Q99972806,Франтишек Бартош,,Цислейтания,
http://www.wikidata.org/entity/Q99972807,Q99972807,Франтишек Бартош,,Цислейтания,
http://www.wikidata.org/entity/Q99972804,Q99972804,Франтишек Бартош,,Цислейтания,
http://www.wikidata.org/entity/Q99972810,Q99972810,Франтишек Бартош,,Цислейтания,
http://www.wikidata.org/entity/Q99972811,Q99972811,Франтишек Бартош,,Цислейтания,
http://www.wikidata.org/entity/Q99972808,Q99972808,Франтишек Бартош,,Цислейтания,
http://www.wikidata.org/entity/Q99972809,Q99972809,Франтишек Бартош,,Цислейтания,
http://www.wikidata.org/entity/Q99972812,Q99972812,Франтишек Бартош,,Цислейтания,
http://www.wikidata.org/entity/Q99972923,Q99972923,Адам Вацлав Михна,,,
http://www.wikidata.org/entity/Q99972926,Q99972926,Адам Вацлав Михна,,,
http://www.wikidata.org/entity/Q99972927,Q99972927,Адам Вацлав Михна,,,
http://www.wikidata.org/entity/Q99972924,Q99972924,Адам Вацлав Михна,,,
http://www.wikidata.org/entity/Q99972925,Q99972925,Адам Вацлав Михна,,,
http://www.wikidata.org/entity/Q99972930,Q99972930,Адам Вацлав Михна,,,
http://www.wikidata.org/entity/Q99972928,Q99972928,Адам Вацлав Михна,,,
http://www.wikidata.org/entity/Q99972929,Q99972929,Адам Вацлав Михна,,,
http://www.wikidata.org/entity/Q99972933,Q99972933,Адам Вацлав Михна,,,
http://www.wikidata.org/entity/Q99972937,Q99972937,Адам Вацлав Михна,,,
http://www.wikidata.org/entity/Q98456388,Papa chanteur,Jean-Luc Lahaye,middle of the road,Франция,
http://www.wikidata.org/entity/Q99972843,Q99972843,Йозеф Каэтан Тыл,,Австрийская империя,
http://www.wikidata.org/entity/Q97258646,Q97258646,Nico Outhuijse,поп-музыка,Королевство Нидерландов,323
http://www.wikidata.org/entity/Q97258646,Q97258646,Syb van der Ploeg,поп-музыка,Королевство Нидерландов,323
http://www.wikidata.org/entity/Q96694468,Children,Джо Саут,,США,
http://www.wikidata.org/entity/Q99964838,Q99964838,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q99964839,Q99964839,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q99964837,Q99964837,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q99964842,Q99964842,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q99964843,Q99964843,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q99964840,Q99964840,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q99964841,Q99964841,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q99964846,Q99964846,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q99964847,Q99964847,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q99964844,Q99964844,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q99964845,Q99964845,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q99964850,Q99964850,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q99964851,Q99964851,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q99964848,Q99964848,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q99964849,Q99964849,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q99964852,Q99964852,Франтишек Ладислав Челаковский,,Австрийская империя,
http://www.wikidata.org/entity/Q20741062,Lovers of a Kind,Ховард Гудолл,поп-рок,Великобритания,
http://www.wikidata.org/entity/Q3051379,Elle me contrôle,Мэтт Покора,поп-музыка,Франция,
http://www.wikidata.org/entity/Q3028868,Knockdown,Xenomania,современный ритм-н-блюз,,
http://www.wikidata.org/entity/Q20754911,We'll Put the World Together Again,Rainer Pietsch,middle of the road,Германия,
http://www.wikidata.org/entity/Q7190433,Pibare Rama Rasam,Sadasiva Brahmendra,,,
http://www.wikidata.org/entity/Q99964962,Q99964962,Antonín Vorel,,Чехословакия,
http://www.wikidata.org/entity/Q99964963,Q99964963,Antonín Vorel,,Чехословакия,
http://www.wikidata.org/entity/Q99964960,Q99964960,Antonín Vorel,,Чехословакия,
http://www.wikidata.org/entity/Q99964964,Q99964964,Antonín Vorel,,Чехословакия,
http://www.wikidata.org/entity/Q7968538,War Song,Нил Янг,песня протеста,США,
http://www.wikidata.org/entity/Q17067672,Loop di Love,Michael Schepior,поп-рок,,
http://www.wikidata.org/entity/Q3053483,En attendant la fin,Malory,поп-музыка,Франция,
http://www.wikidata.org/entity/Q20741071,Take a Look at Me,Günter Lammers,электронный рок,Германия,
http://www.wikidata.org/entity/Q20741071,Take a Look at Me,David Christopher John Colman,электронный рок,Великобритания,
http://www.wikidata.org/entity/Q2299769,Stars,Ноэл Хоган,рок-музыка,Ирландия,
http://www.wikidata.org/entity/Q4317900,Нет,Константин Меладзе,поп-музыка,Россия,236
http://www.wikidata.org/entity/Q97732499,Q97732499,http://www.wikidata.org/.well-known/genid/7f806e614bcd784a409c2bd87c014b54,,,
http://www.wikidata.org/entity/Q4317900,Нет,Константин Меладзе,поп-музыка,Украина,236
http://www.wikidata.org/entity/Q16615833,Ticket to Heaven,Марк Нопфлер,баллада,Великобритания,
http://www.wikidata.org/entity/Q99964966,Pásl Janko dva voly u hája,Antonín Vorel,,Чехословакия,
http://www.wikidata.org/entity/Q3430734,You Needed Me,Randy Goodrum,европоп,США,
http://www.wikidata.org/entity/Q7798517,Throw Your Hands (In the Air),Prodigy,хип-хоп,США,
http://www.wikidata.org/entity/Q7968538,War Song,Нил Янг,песня протеста,Канада,
http://www.wikidata.org/entity/Q4959377,Breakaway,Jackie DeShannon,ритм-н-блюз,США,
http://www.wikidata.org/entity/Q4317900,Нет,Константин Меладзе,поп-музыка,СССР,236
http://www.wikidata.org/entity/Q2699287,Toilet no Kamisama,Кана Уэмура,драматический сериал,Япония,
http://www.wikidata.org/entity/Q3266334,Old Man (песня),Нил Янг,фолк-рок,США,
http://www.wikidata.org/entity/Q20754911,We'll Put the World Together Again,Michael Holm,поп-музыка,Германия,
http://www.wikidata.org/entity/Q6129496,Sirius,Алан Парсонс,арт-рок,Великобритания,114
http://www.wikidata.org/entity/Q3028868,Knockdown,Алиша Диксон,современный ритм-н-блюз,Великобритания,
http://www.wikidata.org/entity/Q11794549,"О, мой розмарин",Wacław Denhoff-Czarnocki,,Польша,
http://www.wikidata.org/entity/Q3430734,You Needed Me,Randy Goodrum,кантри,США,
http://www.wikidata.org/entity/Q20754913,Out of Reach,Ton Scherpenzeel,поп-музыка,Королевство Нидерландов,
http://www.wikidata.org/entity/Q2061180,Lollipop,Тедди Пак,K-pop,Республика Корея,
http://www.wikidata.org/entity/Q20741083,Chicano,Werner Theunissen,латин-рок,Королевство Нидерландов,
http://www.wikidata.org/entity/Q3266334,Old Man (песня),Нил Янг,фолк-рок,Канада,
http://www.wikidata.org/entity/Q20741062,Lovers of a Kind,Andy Arthurs,middle of the road,,
http://www.wikidata.org/entity/Q20754911,We'll Put the World Together Again,Rainer Pietsch,поп-музыка,Германия,
http://www.wikidata.org/entity/Q13445412,A Little Party Never Killed Nobody (All We Got),Андреа Мартин,поп-музыка,ФРГ,
http://www.wikidata.org/entity/Q20741062,Lovers of a Kind,Andy Arthurs,поп-рок,,
http://www.wikidata.org/entity/Q2600426,Arms of Mary,Iain Sutherland,Palingsound,,
http://www.wikidata.org/entity/Q9283604,Q9283604,Михаил Балуцкий,,Польша,
http://www.wikidata.org/entity/Q12990194,Q12990194,Аннамачарья,,,
http://www.wikidata.org/entity/Q12998130,Q12998130,Аннамачарья,,,
http://www.wikidata.org/entity/Q16615833,Ticket to Heaven,Марк Нопфлер,рок-музыка,Великобритания,
http://www.wikidata.org/entity/Q2600426,Arms of Mary,Iain Sutherland,поп-музыка,,
http://www.wikidata.org/entity/Q16618307,Q16618307,аноним,рождественская песнь,,
http://www.wikidata.org/entity/Q3028868,Knockdown,Алиша Диксон,регги,Великобритания,
http://www.wikidata.org/entity/Q2838711,Allumer le Feu,Зази,рок-музыка,Франция,
http://www.wikidata.org/entity/Q3266334,Old Man (песня),Нил Янг,кантри-рок,США,
http://www.wikidata.org/entity/Q13445412,A Little Party Never Killed Nobody (All We Got),Q-Tip,поп-музыка,США,
http://www.wikidata.org/entity/Q2299769,Stars,Долорес О’Риордан,рок-музыка,Ирландия,
http://www.wikidata.org/entity/Q9283604,Q9283604,Михаил Балуцкий,,Австрийская империя,
http://www.wikidata.org/entity/Q100747053,Q100747053,Юлия Хаусман,духовная песня,Российская империя,
http://www.wikidata.org/entity/Q20741062,Lovers of a Kind,Andy Arthurs,электронная музыка,,
http://www.wikidata.org/entity/Q7062129,Not Meant to Be,Кара Диогуарди,Табулатура,США,
http://www.wikidata.org/entity/Q920366,Vincent,Дон Маклин,рок-музыка,США,243
http://www.wikidata.org/entity/Q7062129,Not Meant to Be,Theory of a Deadman,Табулатура,,
http://www.wikidata.org/entity/Q3266334,Old Man (песня),Нил Янг,кантри-рок,Канада,
http://www.wikidata.org/entity/Q20743490,Light of a Gypsy,Werner Theunissen,электронная музыка,Королевство Нидерландов,
http://www.wikidata.org/entity/Q9283604,Q9283604,Михаил Балуцкий,,Российская империя,
http://www.wikidata.org/entity/Q16387274,Krunk,Комитас,,Франция,
http://www.wikidata.org/entity/Q2633281,J’en ai marre!,Милен Фармер,дэнс-поп,Франция,4.583333
http://www.wikidata.org/entity/Q2633281,J’en ai marre!,Милен Фармер,дэнс-поп,Франция,5.0833333
http://www.wikidata.org/entity/Q99972836,Q99972836,http://www.wikidata.org/.well-known/genid/10860ef138495451747f114972c493c2,,,
http://www.wikidata.org/entity/Q99972840,Q99972840,http://www.wikidata.org/.well-known/genid/be30d6a134b849438a250e9c0ca087b4,,,
http://www.wikidata.org/entity/Q99972847,Q99972847,http://www.wikidata.org/.well-known/genid/821089dbb519d29b46a93336453be3c6,,,
http://www.wikidata.org/entity/Q99972845,Q99972845,http://www.wikidata.org/.well-known/genid/e431db92010d42170ec33d23d8f3ac43,,,
http://www.wikidata.org/entity/Q99972850,Q99972850,http://www.wikidata.org/.well-known/genid/e24b80bbca494853035fe3680ce1cff0,,,
http://www.wikidata.org/entity/Q99972854,Q99972854,http://www.wikidata.org/.well-known/genid/3efb0ac91c006a758fbeeac651ebe68c,,,
http://www.wikidata.org/entity/Q99972852,Q99972852,http://www.wikidata.org/.well-known/genid/dd6948058fb7a907586650baa4046809,,,
http://www.wikidata.org/entity/Q7798517,Throw Your Hands (In the Air),Хэвок,хип-хоп,США,
http://www.wikidata.org/entity/Q6129496,Sirius,Алан Парсонс,инструментальный рок,Великобритания,114
http://www.wikidata.org/entity/Q10974640,Nafarroa arragoa,Xabier Lete,,Испания,
http://www.wikidata.org/entity/Q99972857,Q99972857,Алеш Бальцарек,,,
http://www.wikidata.org/entity/Q4317900,Нет,Константин Меладзе,поп-музыка,Грузия,236
http://www.wikidata.org/entity/Q16387274,Krunk,Комитас,,Османская империя,
http://www.wikidata.org/entity/Q5691988,Heart Half Empty,Дезмонд Чайлд,кантри,США,
http://www.wikidata.org/entity/Q5691988,Heart Half Empty,Дезмонд Чайлд,кантри,Венгрия,
http://www.wikidata.org/entity/Q3028868,Knockdown,Xenomania,регги,,
http://www.wikidata.org/entity/Q20754916,It Turned Out to Be You,Dick Altena,кантри,Королевство Нидерландов,
http://www.wikidata.org/entity/Q2061180,Lollipop,Тедди Пак,бабблгам-поп,Республика Корея,
http://www.wikidata.org/entity/Q20679648,I've Got Dreams to Remember,Joe Rock,фанк,США,
